mobile_name,mobile_price,mobile_color,Sims,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,Brand,5G_connectivity,VOLTE_connectivity,4G_connectivity,3G_connectivity,2G_connectivity,primary_cam,secondary_cam,tertiary_cam,quaternary_cam,Low_light_sensor,f_cam_primary,f_cam_secondary
Note 4 ,13999,Gold,2,5.5,FHD,Android Marshmallow 6,Octa Core,2.0,64,4,4100,76.0,151.0,8.4,165.0,Redmi,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
8A Dual ,8499,White,2,6.22,HD+,Android Pie 9,Octa Core,2.0,32,2,5000,92.0,175.0,9.0,186.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
8A Dual ,8498,Gray,2,6.22,HD+,Android Pie 9,Octa Core,2.0,32,2,5000,92.0,175.0,9.0,186.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
8A Dual ,9990,White,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,3,5000,75.41,156.48,9.4,191.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
8A Dual ,9990,Blue,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,3,5000,75.41,156.48,9.4,191.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Note 6 Pro ,11349,Black,2,6.26,FHD+,Android Oreo 8,Octa Core,1.8,64,4,4000,76.4,157.9,8.26,181.0,Redmi,No,Yes,No,Yes,Yes,12,5,0,0,No,20,2
Note 7 Pro ,16999,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.0,128,6,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,48,5,0,0,No,13,0
8A Dual ,9999,Gray,2,6.22,HD+,Android Pie 9,Octa Core,1.95,64,3,5000,75.41,156.48,9.4,191.0,Redmi,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Note 9 Pro ,19999,White,2,6.67,FHD+,Android 10,Octa Core,2.3,128,6,5020,76.68,165.75,8.8,209.0,Redmi,No,Yes,No,Yes,Yes,48,8,5,2,No,16,0
Note 7 ,14800,Blue,2,6.3,FHD+,Android Pie 9,Octa Core,2.2,64,4,4000,75.21,159.21,8.1,186.0,Redmi,No,Yes,No,Yes,Yes,12,2,0,0,No,13,0
A2 ,13990,Gold,2,5.99,FHD+,Android Oreo 8,Octa Core,2.2,64,4,3010,75.4,158.7,7.3,168.0,Mi,No,Yes,No,Yes,Yes,20,12,0,0,No,20,0
7A ,6699,Gold,2,5.45,HD+,Android Pie 9,Octa Core,2.0,32,2,4000,70.4,146.3,9.55,165.0,Redmi,No,Yes,No,Yes,Yes,12,0,0,0,No,5,0
Y2 ,8689,Gold,2,5.99,HD+,Android Oreo 8,Octa Core,2.0,32,3,3080,77.26,160.73,8.1,168.0,Redmi,No,No,Yes,Yes,Yes,12,5,0,0,No,16,0
Y1 ,11599,Gray,2,5.5,HD+,Android Nougat 7,Octa Core,1.4,64,4,3080,76.2,153.0,7.7,154.0,Redmi,No,No,Yes,Yes,Yes,13,0,0,0,No,16,0
Y2 ,7999,Gray,2,5.99,HD+,Android Oreo 8,Octa Core,2.0,32,3,3080,77.26,160.73,8.1,168.0,Redmi,No,No,Yes,Yes,Yes,12,5,0,0,No,16,0
Y12 ,9900,Red,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
U10 ,10990,Black,2,6.35,HD+,Android Pie 9,Octa Core,2.0,32,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
Y11 ,10849,Blue,2,6.35,HD+,Android Pie 9,Octa Core,1.95,32,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Z1x ,16990,Blue,2,6.38,FHD+,Android Pie 9,Octa Core,2.3,64,6,4500,75.23,159.53,8.13,189.6,Vivo,No,No,Yes,Yes,Yes,48,8,2,0,No,32,0
Z1x ,16990,Purple,2,6.38,FHD+,Android Pie 9,Octa Core,2.3,64,6,4500,75.23,159.53,8.13,189.6,Vivo,No,No,Yes,Yes,Yes,48,8,2,0,No,32,0
Z1x ,18990,Blue,2,6.38,FHD+,Android Pie 9,Octa Core,2.3,128,8,4500,75.23,159.53,8.13,189.6,Vivo,No,No,Yes,Yes,Yes,48,8,2,0,No,32,0
Z1x ,18990,Purple,2,6.38,FHD+,Android Pie 9,Octa Core,2.3,128,8,4500,75.23,159.53,8.13,189.6,Vivo,No,No,Yes,Yes,Yes,48,8,2,0,No,32,0
Y15 ,12990,Red,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,4,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,16,0
Y11 ,10849,Red,2,6.35,HD+,Android Pie 9,Octa Core,1.95,32,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
S1 Pro ,19990,Black,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,8,4500,75.19,159.25,8.68,186.7,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,0
S1 Pro ,19990,Blue,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,8,4500,75.19,159.25,8.68,186.7,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,0
S1 Pro ,19990,White,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,8,4500,75.19,159.25,8.68,186.7,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,0
Y91i ,8990,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,3,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y91i ,11982,Blue,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,3,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y50 ,17990,White,2,6.53,FHD+,Android 10,Octa Core,2.0,128,8,5000,76.46,162.04,9.11,197.0,Vivo,No,Yes,No,Yes,Yes,13,8,2,2,No,16,0
Y50 ,17990,Blue,2,6.53,FHD+,Android 10,Octa Core,2.0,128,8,5000,76.46,162.04,9.11,197.0,Vivo,No,Yes,No,Yes,Yes,13,8,2,2,No,16,0
Z1Pro ,17990,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,128,6,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Z1Pro ,13990,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,4,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Z1Pro ,17990,Blue,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,128,6,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Y91i ,8705,Blue,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y91i ,8949,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y19 ,16375,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.0,128,4,5000,76.47,162.15,8.89,193.0,Vivo,No,No,Yes,Yes,Yes,16,8,2,0,No,16,0
V19 ,31990,Silver,2,6.44,FHD+,Android 10,Octa Core,2.3,256,8,4500,75.04,159.64,8.5,186.5,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,8
V19 ,27990,Silver,2,6.44,FHD+,Android 10,Octa Core,2.3,128,8,4500,75.04,159.64,8.5,186.5,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,8
V19 ,27990,Black,2,6.44,FHD+,Android 10,Octa Core,2.3,128,8,4500,75.04,159.64,8.5,186.5,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,8
V19 ,31990,Black,2,6.44,FHD+,Android 10,Octa Core,2.3,256,8,4500,75.04,159.64,8.5,186.5,Vivo,No,Yes,No,Yes,Yes,48,8,2,2,No,32,8
V17 ,24990,White,2,6.44,FHD+,Android Pie 9,Octa Core,2.0,128,8,4500,74.17,159.01,8.54,176.0,Vivo,No,No,Yes,Yes,Yes,48,8,2,2,No,32,0
V17 ,24990,Black,2,6.44,FHD+,Android Pie 9,Octa Core,2.0,128,8,4500,74.17,159.01,8.54,176.0,Vivo,No,No,Yes,Yes,Yes,48,8,2,2,No,32,0
U10 ,11990,Blue,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
S1 ,18990,Blue,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,64,6,4500,75.23,159.53,8.13,179.0,Vivo,No,No,Yes,Yes,Yes,16,8,2,0,No,32,0
S1 ,16990,Blue,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,4,4500,75.23,159.53,8.13,179.0,Vivo,No,No,Yes,Yes,Yes,16,8,2,0,No,32,0
S1 ,19990,Blue,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,6,4500,75.23,159.53,8.13,179.0,Vivo,No,No,Yes,Yes,Yes,16,8,2,0,No,32,0
S1 ,16990,Black,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,4,4500,75.23,159.53,8.13,179.0,Vivo,No,No,Yes,Yes,Yes,16,8,2,0,No,32,0
S1 ,19990,Black,2,6.38,FHD+,Android Pie 9,Octa Core,2.0,128,6,4500,75.23,159.53,8.13,179.0,Vivo,No,No,Yes,Yes,Yes,16,8,2,0,No,32,0
Y91i ,9199,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,16,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
V15 Pro ,22399,Blue,2,6.39,FHD+,Android Pie 9,Octa Core,2.0,128,6,3700,74.71,157.25,8.21,185.0,Vivo,No,Yes,No,Yes,Yes,48,5,8,0,No,32,0
Y17 ,13990,Purple,2,6.35,HD+,Android Pie 9,Octa Core,2.3,128,4,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,20,0
V15 Pro ,21099,Red,2,6.39,FHD+,Android Pie 9,Octa Core,2.0,128,6,3700,74.71,157.25,8.21,185.0,Vivo,No,Yes,No,Yes,Yes,48,8,5,0,No,32,0
V17Pro ,29499,Black,2,6.44,FHD+,Android Pie 9,Octa Core,2.0,128,8,4100,74.7,159.0,9.8,201.8,Vivo,No,No,Yes,Yes,Yes,48,13,8,2,No,32,8
V17Pro ,29499,White,2,6.44,FHD+,Android Pie 9,Octa Core,2.0,128,8,4100,74.7,159.0,9.8,201.8,Vivo,No,No,Yes,Yes,Yes,48,13,8,2,No,32,8
U10 ,11490,Black,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
V15 Pro ,28499,Blue,2,6.39,FHD+,Android Pie 9,Octa Core,2.0,128,8,3700,74.71,157.25,8.21,185.0,Vivo,No,Yes,No,Yes,Yes,48,8,5,0,No,32,0
V11 Pro ,28990,Black,2,6.41,FHD+,Android Oreo 8,Octa Core,1.95,64,6,3400,75.08,157.91,7.9,156.0,Vivo,No,Yes,No,Yes,Yes,12,5,0,0,No,25,0
NEX ,29990,Black,2,6.59,HD+,Android Oreo 8,Octa Core,2.8,128,8,4000,77.0,162.0,7.98,199.0,Vivo,No,Yes,No,Yes,Yes,12,5,0,0,No,8,0
Y81 ,13990,Black,2,6.1,HD+,Android Oreo 8,Octa Core,2.0,32,3,3260,75.0,155.06,7.77,148.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
V9 Youth ,16990,Black,2,6.3,FHD+,Android Oreo 8,Octa Core,1.8,32,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,16,2,0,0,No,16,0
V15 ,21099,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.1,64,6,4000,75.93,161.97,8.54,189.5,Vivo,No,Yes,No,Yes,Yes,12,5,8,0,No,32,0
Y93 ,15500,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Y93 ,14990,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,64,3,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Y91 ,11990,Blue,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
V7 ,18900,Black,2,5.7,HD+,Android Nougat 7,Octa Core,1.8,32,4,3000,72.8,149.3,7.9,139.0,Vivo,No,Yes,No,Yes,Yes,16,0,0,0,No,24,0
V7 ,15990,Blue,2,5.7,HD+,Android Nougat 7,Octa Core,1.8,32,4,3000,72.8,149.3,7.9,139.0,Vivo,No,Yes,No,Yes,Yes,16,0,0,0,No,24,0
Y83 ,11999,Gold,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,3260,75.24,155.21,7.7,151.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,8,0
V9 ,24000,Gold,2,6.3,FHD+,Android Oreo 8,Octa Core,2.2,64,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,16,5,0,0,No,24,0
Y71i ,8900,Black,2,6.0,HD+,Android Oreo 8,Quad Core,1.4,16,2,3360,75.74,155.87,7.8,150.0,Vivo,No,Yes,No,Yes,Yes,8,0,0,0,No,5,0
Y93 ,15990,Purple,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
U10 ,10990,Blue,2,6.35,HD+,Android Pie 9,Octa Core,2.0,32,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
Z1Pro ,14990,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,6,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Z1Pro ,13990,Blue,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,4,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Z1Pro ,14990,Blue,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,6,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
U10 ,12990,Blue,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,4,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
U10 ,12990,Black,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,4,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
V9 Pro ,17990,Black,2,6.3,FHD+,Android Oreo 8,Octa Core,1.95,64,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,16,0
V9 Pro ,17990,Purple,2,6.3,FHD+,Android Oreo 8,Octa Core,1.95,64,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,16,0
Y81 ,11500,Gold,2,6.1,HD+,Android Oreo 8,Octa Core,2.0,32,3,3260,75.0,155.06,7.77,148.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
V9 Youth ,17999,Gold,2,6.3,FHD+,Android Oreo 8,Octa Core,1.8,32,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,16,2,0,0,No,16,0
Y91 ,9990,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,3,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Y71 ,10900,Gold,2,6.0,HD+,Android Oreo 8,Quad Core,1.4,16,3,3360,75.74,155.87,7.8,150.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y71 ,12000,Black,2,6.0,HD+,Android Oreo 8,Quad Core,1.4,32,4,3360,75.74,155.87,7.8,150.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
V7+ ,22325,Blue,2,5.99,HD+,Android Nougat 7,Octa Core,1.8,64,4,3225,75.74,155.87,7.7,160.0,Vivo,No,Yes,No,Yes,Yes,16,0,0,0,No,24,0
Y55S ,13995,Black,2,5.2,HD+,Android Marshmallow 6,Quad Core,1.4,16,3,2730,72.9,149.9,7.5,142.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y55S ,13529,Gray,2,5.2,HD+,Android Marshmallow 6,Quad Core,1.4,16,3,2730,72.9,149.9,7.5,142.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y81i ,11990,Gold,2,6.22,HD+,Android Oreo 8,Quad Core,2.0,16,2,3260,75.0,155.06,7.77,143.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y93 ,15500,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Y93 ,14990,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,64,3,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Y91 ,11990,Blue,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
V7 ,18900,Black,2,5.7,HD+,Android Nougat 7,Octa Core,1.8,32,4,3000,72.8,149.3,7.9,139.0,Vivo,No,Yes,No,Yes,Yes,16,0,0,0,No,24,0
V7 ,15990,Blue,2,5.7,HD+,Android Nougat 7,Octa Core,1.8,32,4,3000,72.8,149.3,7.9,139.0,Vivo,No,Yes,No,Yes,Yes,16,0,0,0,No,24,0
Y83 ,11999,Gold,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,3260,75.24,155.21,7.7,151.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,8,0
V9 ,24000,Gold,2,6.3,FHD+,Android Oreo 8,Octa Core,2.2,64,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,16,5,0,0,No,24,0
Y71i ,8900,Black,2,6.0,HD+,Android Oreo 8,Quad Core,1.4,16,2,3360,75.74,155.87,7.8,150.0,Vivo,No,Yes,No,Yes,Yes,8,0,0,0,No,5,0
Y93 ,15990,Purple,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Z1Pro ,13990,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,4,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Z1Pro ,14990,Black,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,6,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
Z1Pro ,14990,Blue,2,6.53,FHD+,Android Pie 9,Octa Core,2.3,64,6,5000,77.33,162.39,8.85,201.0,Vivo,No,Yes,No,Yes,Yes,16,2,8,0,No,32,0
U10 ,12990,Blue,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,4,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
U10 ,11490,Black,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,3,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
U10 ,12990,Black,2,6.35,HD+,Android Pie 9,Octa Core,2.0,64,4,5000,76.77,159.43,8.92,190.5,Vivo,No,Yes,No,Yes,Yes,13,8,2,0,No,8,0
V9 Pro ,17990,Black,2,6.3,FHD+,Android Oreo 8,Octa Core,1.95,64,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,16,0
V9 Pro ,17990,Purple,2,6.3,FHD+,Android Oreo 8,Octa Core,1.95,64,4,3260,75.03,154.81,7.89,150.0,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,16,0
Y71 ,10900,Black,2,6.0,HD+,Android Oreo 8,Quad Core,1.4,16,3,3360,75.74,155.87,7.8,150.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y71 ,12000,Gold,2,6.0,HD+,Android Oreo 8,Quad Core,1.4,32,4,3360,75.74,155.87,7.8,150.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y91i ,8998,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Y91 ,8990,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,2,4030,75.09,155.11,8.28,163.5,Vivo,No,Yes,No,Yes,Yes,13,2,0,0,No,8,0
Y69 ,14914,Gold,2,5.5,HD+,Android Nougat 7,Octa Core,1.5,32,3,3000,75.7,154.6,7.7,162.8,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,16,0
Y81 ,14538,Black,2,6.22,HD+,Android Oreo 8,Octa Core,2.0,32,4,3260,75.0,155.06,7.77,148.0,Vivo,No,Yes,No,Yes,Yes,13,0,0,0,No,5,0
Galaxy M30S ,17490,Blue,2,6.4,FHD+,Android Pie 9,Octa Core,2.3,128,4,6000,75.0,159.0,9.0,186.0,Samsung,No,Yes,No,Yes,Yes,48,8,0,0,No,16,0
Galaxy A21s ,16499,Blue,2,6.5,HD+,Android 10,Octa Core,2.0,64,4,5000,75.3,163.6,8.9,191.0,Samsung,No,No,Yes,Yes,Yes,48,8,2,2,No,13,0
Galaxy A21s ,16499,Black,2,6.5,HD+,Android 10,Octa Core,2.0,64,4,5000,75.3,163.6,8.9,191.0,Samsung,No,No,Yes,Yes,Yes,48,8,2,2,No,13,0
Galaxy A21s ,18499,Blue,2,6.5,HD+,Android 10,Octa Core,2.0,64,6,5000,75.3,163.6,8.9,191.0,Samsung,No,No,Yes,Yes,Yes,48,8,2,2,No,13,0
Galaxy A21s ,18499,White,2,6.5,HD+,Android 10,Octa Core,2.0,64,6,5000,75.3,163.6,8.9,191.0,Samsung,No,No,Yes,Yes,Yes,48,8,2,2,No,13,0
Galaxy A21s ,18499,Black,2,6.5,HD+,Android 10,Octa Core,2.0,64,6,5000,75.3,163.6,8.9,191.0,Samsung,No,No,Yes,Yes,Yes,48,8,2,2,No,13,0
Galaxy A21s ,17490,White,2,6.5,HD+,Android 10,Octa Core,2.0,64,4,5000,75.3,163.6,8.9,191.0,Samsung,No,No,Yes,Yes,Yes,48,8,2,2,No,13,0
Galaxy M21 ,15999,Blue,2,6.4,FHD+,Android 10,Octa Core,2.3,64,4,6000,75.0,159.0,9.0,188.0,Samsung,No,Yes,No,Yes,Yes,48,8,5,0,No,20,0
Galaxy M21 ,15990,Black,2,6.4,FHD+,Android 10,Octa Core,2.3,64,4,6000,75.0,159.0,9.0,188.0,Samsung,No,Yes,No,Yes,Yes,48,8,5,0,No,20,0
Galaxy J2 Core ,6299,Black,2,5.0,qHD,Android Oreo 8,Quad Core,1.4,16,1,2600,72.1,143.4,8.95,154.0,Samsung,No,No,Yes,Yes,Yes,8,0,0,0,No,5,0
Galaxy M31 ,19900,Blue,2,6.4,FHD+,Android 10,Octa Core,2.3,128,6,6000,75.0,159.0,9.0,191.0,Samsung,No,Yes,No,Yes,Yes,64,8,5,5,No,32,0
Galaxy S10 Lite ,47999,Blue,2,6.7,FHD+,Android 10,Octa Core,2.8,512,8,4500,75.6,162.5,8.1,187.0,Samsung,No,Yes,No,Yes,Yes,48,12,5,0,No,32,0
Galaxy S10 Lite ,47999,Black,2,6.7,FHD+,Android 10,Octa Core,2.8,512,8,4500,75.6,162.5,8.1,187.0,Samsung,No,Yes,No,Yes,Yes,48,12,5,0,No,32,0
Galaxy J2-2017 ,6000,Gold,2,4.7,qHD,Android Lollipop 5,Quad Core,1.3,8,1,2000,69.0,136.5,8.4,130.0,Samsung,No,No,Yes,Yes,Yes,5,0,0,0,No,2,0
Galaxy J7 Pro ,20995,Black,2,5.5,FHD,Android Nougat 7,Octa Core,1.6,64,3,3600,74.7,152.4,7.8,178.0,Samsung,No,No,Yes,Yes,Yes,13,0,0,0,No,13,0
Galaxy J7 Nxt ,11995,Black,2,5.5,HD+,Android Nougat 7,Octa Core,1.6,16,2,3000,78.6,152.4,7.6,170.0,Samsung,No,No,Yes,Yes,Yes,13,0,0,0,No,5,0
Galaxy J7 Nxt ,10995,Gold,2,5.5,HD+,Android Nougat 7,Octa Core,1.6,16,2,3000,78.6,152.4,7.6,170.0,Samsung,No,No,Yes,Yes,Yes,13,0,0,0,No,5,0
Hot 9 Pro ,9999,Violet,2,6.6,HD+,Android 10,Octa Core,2.0,64,4,5000,76.8,165.0,8.7,185.0,Infinix,No,Yes,No,Yes,Yes,48,2,2,0,Yes,8,0
Hot 9 Pro ,9999,Green,2,6.6,HD+,Android 10,Octa Core,2.0,64,4,5000,76.8,165.0,8.7,185.0,Infinix,No,Yes,No,Yes,Yes,48,2,2,0,Yes,8,0
Hot 9 ,8999,Violet,2,6.6,HD+,Android 10,Octa Core,2.0,64,4,5000,76.8,165.0,8.7,185.0,Infinix,No,Yes,No,Yes,Yes,13,2,2,0,Yes,8,0
Hot 9 ,8999,Green,2,6.6,HD+,Android 10,Octa Core,2.0,64,4,5000,76.8,165.0,8.7,185.0,Infinix,No,Yes,No,Yes,Yes,13,2,2,0,Yes,8,0
Note 5 Stylus ,10999,Blue,2,5.93,FHD+,Android Oreo 8,Octa Core,2.0,64,4,4000,75.0,158.0,8.4,190.0,Infinix,No,Yes,No,Yes,Yes,16,0,0,0,No,16,0
S5 Pro ,11499,Green,2,6.53,FHD+,Android 10,Octa Core,2.3,64,4,4000,76.88,162.5,8.95,194.0,Infinix,No,Yes,No,Yes,Yes,48,2,0,0,No,16,0
S5 Pro ,11499,Violet,2,6.53,FHD+,Android 10,Octa Core,2.3,64,4,4000,76.88,162.5,8.95,194.0,Infinix,No,Yes,No,Yes,Yes,48,2,0,0,No,16,0
Note 5 Stylus ,10999,Red,2,5.93,FHD+,Android Oreo 8,Octa Core,2.0,64,4,4000,75.0,158.0,8.4,190.0,Infinix,No,Yes,No,Yes,Yes,16,0,0,0,No,16,0
Hot S3X ,10999,Gray,2,6.2,HD+,Android Oreo 8,Octa Core,1.4,32,3,4000,75.3,156.7,8.3,150.0,Infinix,No,No,Yes,Yes,Yes,13,2,0,0,No,16,0
Hot S3X ,10999,Black,2,6.2,HD+,Android Oreo 8,Octa Core,1.4,32,3,4000,75.3,156.7,8.3,150.0,Infinix,No,No,Yes,Yes,Yes,13,2,0,0,No,16,0
